Date,Area,Location,CommonName,SpeciesName,Fate,Reason for euthanasia,Marine Park,Latitude,Longitude
30/11/2016,Townsville,Radical Bay,GREAT HAMMERHEAD,Sphyrna mokarran,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
3/12/2016,Townsville,Alma Bay,TIGER SHARK,Galeocerdo cuvier,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
9/12/2016,Cairns,Holloways ,TIGER SHARK,Galeocerdo cuvier,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
13/12/2016,Townsville,Nelly Bay,TAWNY SHARK,Nebrius ferrugineus,Released alive,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
16/12/2016,Gladstone,Tannum Sands,COMMON BLACKTIP WHALER,Carcharhinus limbatus,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
17/12/2016,Gladstone,Tannum Sands,AUSTRALIAN BLACKTIP,Carcharhinus tilstoni,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
17/12/2016,Cairns,Palm Cove,COMMON BLACKTIP WHALER,Carcharhinus limbatus,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
17/12/2016,Townsville,Horseshoe Bay,TIGER SHARK,Galeocerdo cuvier,Euthanised,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
23/12/2016,Townsville,Palarenda Beach,BULL WHALER,Carcharhinus leucas,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
24/12/2016,Capricorn Coast,Mullambin Beach,BULL WHALER,Carcharhinus leucas,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
25/12/2016,Cairns,Ellis Beach,TIGER SHARK,Galeocerdo cuvier,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
26/12/2016,Townsville,Florence Bay,SPOT-TAIL WHALER,Carcharhinus sorrah ,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
27/12/2016,Townsville,Picnic Bay,TAWNY SHARK,Nebrius ferrugineus,Released alive,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
30/12/2016,Townsville,Horseshoe Bay,TIGER SHARK,Galeocerdo cuvier,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
30/12/2016,Townsville,Horseshoe Bay,TIGER SHARK,Galeocerdo cuvier,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
31/12/2016,Capricorn Coast,Tanby Point,BULL WHALER,Carcharhinus leucas,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
31/12/2016,Townsville,Nelly Bay,TIGER SHARK,Galeocerdo cuvier,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
9/1/2017,Gladstone,Tannum Sands,BLACKTIP REEF WHALER,Carcharhinus melanopterus,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
10/1/2017,Gladstone,Tannum Sands,BULL WHALER,Carcharhinus leucas,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
10/1/2017,Capricorn Coast,Cooee Bay,BULL WHALER,Carcharhinus leucas,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
11/1/2017,Cairns,Buchans  ,AUSTRALIAN BLACKTIP,Carcharhinus tilstoni,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
11/1/2017,Capricorn Coast,Farnborough Beach,BULL WHALER,Carcharhinus leucas,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
11/1/2017,Townsville,Horseshoe Bay,BULL WHALER,Carcharhinus leucas,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
11/1/2017,Cairns,Clifton,HARDNOSE WHALER,Carcharhinus malcloti,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
11/1/2017,Townsville,Nelly Bay,TAWNY SHARK,Nebrius ferrugineus,Released alive,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
12/1/2017,Capricorn Coast,Emu Park,BULL WHALER,Carcharhinus leucas,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
12/1/2017,Gladstone,Tannum Sands,TIGER SHARK,Galeocerdo cuvier,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
13/1/2017,Cairns,Trinity,COMMON BLACKTIP WHALER,Carcharhinus limbatus,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
14/1/2017,Capricorn Coast,Fishermans Beach,BULL WHALER,Carcharhinus leucas,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
