Date,Area,Location,CommonName,SpeciesName,Fate,Reason.for.euthanasia,Marine.Park,Latitude,Longitude
29/1/2024,Capricorn Coast,Tanby Point,Pigeye Whaler,Carcharhinus Amboinensis,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
29/1/2024,Capricorn Coast,Yeppoon Beach,Pigeye Whaler,Carcharhinus Amboinensis,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
30/1/2024,Townsville,Alma Bay,Common Blacktip Whaler,Carcharhinus Limbatus,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
30/1/2024,Capricorn Coast,Smart 606 Emu Park,Giant Trevally,Caranx Ignobilis,Released Alive,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
30/1/2024,Capricorn Coast,Emu Park,Pigeye Whaler,Carcharhinus Amboinensis,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
30/1/2024,Townsville,Nelly Bay,Spot-Tail Whaler,Carcharhinus Sorrah,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
31/1/2024,Capricorn Coast,Cooee Bay,Bull Whaler,Carcharhinus Leucas,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
31/1/2024,Capricorn Coast,Farnborough Beach,Bull Whaler,Carcharhinus Leucas,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
31/1/2024,Cairns,Clifton,Long Nose Whaler,Carcharhinus Brevipinna,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
31/1/2024,Capricorn Coast,Smart 575 Fishermans Beach,Pigeye Whaler,Carcharhinus Amboinensis,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
31/1/2024,Capricorn Coast,Farnborough Beach,Tiger Shark,Galeocerdo Cuvier,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
31/1/2024,Capricorn Coast,Kemp Beach,Tiger Shark,Galeocerdo Cuvier,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
1/2/2024,Townsville,Florence Bay,Spot-Tail Whaler,Carcharhinus Sorrah,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
2/2/2024,Capricorn Coast,Smart 577 Fishermans Beach,Bull Whaler,Carcharhinus Leucas,Released Alive,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
2/2/2024,Townsville,Horseshoe Bay,Pigeye Whaler,Carcharhinus Amboinensis,Deceased,Great Barrier Reef Coast Marine Park (Gbrcmp),,NA,NA
2/2/2024,Cairns,Yorkeys,Sharptooth Shark,Negaprion Acutidens,Deceased,Great Barrier Reef Coast Marine Park (Gbrcmp),,NA,NA
2/2/2024,Cairns,Buchans,Spot-Tail Whaler,Carcharhinus Sorrah,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
3/2/2024,Townsville,Radical Bay,Bull Whaler,Carcharhinus Leucas,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
3/2/2024,Capricorn Coast,Cooee Bay,Bull Whaler,Carcharhinus Leucas,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
3/2/2024,Capricorn Coast,Fishermans Beach,Bull Whaler,Carcharhinus Leucas,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
3/2/2024,Capricorn Coast,Smart 576 Fishermans Beach,Bull Whaler,Carcharhinus Leucas,Released Alive,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
3/2/2024,Capricorn Coast,Yeppoon Beach,Bull Whaler,Carcharhinus Leucas,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
6/2/2024,Townsville,Horseshoe Bay,Tiger Shark,Galeocerdo Cuvier,Deceased,Great Barrier Reef Coast Marine Park (Gbrcmp),,NA,NA
7/2/2024,Cairns,Palm Cove,Spot-Tail Whaler,Carcharhinus Sorrah,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
7/2/2024,Townsville,Florence Bay,Tiger Shark,Galeocerdo Cuvier,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
8/2/2024,Townsville,Palarenda Beach,"Groper , Qld",Epinephelus Lanceolatus,Released Alive,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
8/2/2024,Townsville,Palarenda Beach,Spot-Tail Whaler,Carcharhinus Sorrah,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
10/2/2024,Gladstone,Tannum Sands,Bull Whaler,Carcharhinus Leucas,Deceased,Great Barrier Reef Coast Marine Park (Gbrcmp),,NA,NA
12/2/2024,Capricorn Coast,Cad 11 Emu Park,Bull Whaler,Carcharhinus Leucas,Released Alive,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
12/2/2024,Capricorn Coast,Cad 8 Fishermans Beach,Bull Whaler,Carcharhinus Leucas,Released Alive,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
12/2/2024,Capricorn Coast,Cad 6 Fishermans Beach,Pigeye Whaler,Carcharhinus Amboinensis,Released Alive,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
12/2/2024,Gladstone,Tannum Sands,Pigeye Whaler,Carcharhinus Amboinensis,Deceased,Great Barrier Reef Coast Marine Park (Gbrcmp),,NA,NA
13/2/2024,Capricorn Coast,Cad 11 Emu Park,Bull Whaler,Carcharhinus Leucas,Released Alive,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
13/2/2024,Capricorn Coast,Lammermoor Beach,Bull Whaler,Carcharhinus Leucas,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
13/2/2024,Capricorn Coast,Tanby Point,Bull Whaler,Carcharhinus Leucas,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
13/2/2024,Cairns,Palm Cove,Tawny Shark,Nebrius Ferrugineus,Released Alive,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
14/2/2024,Cairns,Clifton,Tiger Shark,Galeocerdo Cuvier,Released Alive,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
15/2/2024,Capricorn Coast,Kemp Beach,Bull Whaler,Carcharhinus Leucas,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
15/2/2024,Capricorn Coast,Farnborough Beach,Pigeye Whaler,Carcharhinus Amboinensis,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
15/2/2024,Cairns,Cad 6- Palm Cove,Tawny Shark,Nebrius Ferrugineus,Released Alive,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
15/2/2024,Cairns,Cad 6- Palm Cove,Tawny Shark,Nebrius Ferrugineus,Released Alive,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
16/2/2024,Capricorn Coast,Emu Park,Bull Whaler,Carcharhinus Leucas,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
